,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BRISK Descriptor,,,,,BRIEF Descriptor,,,,,FREAK Descriptor,,,,,SIFT Descritptor,,,,,ORB Descriptor,,,
,keypoints,keypoints of front vehicle,Time(ms),,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,keypoints,keypoints of front vehicle,Time(ms),,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total
ORB,500,91,30.0999,,2.12141,,,32.22131,,1.34143,,,31.44133,,48.794,,,78.8939,,79.4363,,,109.5362,,6.10156,,,36.20146
,500,102,10.3547,,1.31657,73,0.39857,12.06984,,0.96894,49,0.542851,11.866491,,44.9739,41,0.244127,55.572727,,72.6152,66,0.653489,83.623389,,5.27804,67,0.423344,16.056084
,500,106,9.81204,,1.30083,74,0.343031,11.455901,,0.593667,43,0.326367,10.732074,,43.0293,36,0.185638,53.026978,,83.7499,79,0.647083,94.209023,,7.69909,70,0.368032,17.879162
,500,113,8.90998,,1.48591,79,0.351192,10.747082,,0.601016,45,0.354989,9.865985,,42.3118,44,0.181916,51.403696,,81.9034,78,0.6443,91.45768,,5.68708,72,0.69442,15.29148
,500,109,9.73758,,1.5924,85,0.399105,11.729085,,1.14946,59,0.467036,11.354076,,42.0208,47,0.191301,51.949681,,72.8377,79,0.676657,83.251937,,5.01974,84,0.412646,15.169966
,500,124,9.55526,,1.66212,79,0.422823,11.640203,,0.661319,53,0.424501,10.64108,,41.6436,44,0.170883,51.369743,,81.6928,82,0.703684,91.951744,,5.0533,91,0.453336,15.061896
,500,129,9.49628,,1.78264,90,0.477202,11.756122,,0.77854,76,0.449787,10.724607,,42.1667,51,0.219896,51.882876,,82.8223,93,0.8679,93.18648,,5.34351,99,0.491857,15.331647
,500,127,9.12243,,1.64808,88,0.450802,11.221312,,0.69403,67,0.484371,10.300831,,42.5327,52,0.218288,51.873418,,87.3742,94,0.849776,97.346406,,5.592,91,0.526775,15.241205
,500,124,9.95,,1.72038,86,0.536379,12.206759,,0.681437,83,0.447598,11.079035,,44.9468,47,0.242243,55.139043,,96.8335,93,0.825292,107.608792,,7.30058,91,0.466452,17.717032
,500,125,9.22655,,1.5577,90,0.441299,11.225549,,1.1624,65,0.433106,10.822056,,42.9248,54,0.234269,52.385619,,84.0288,92,0.871748,94.127098,,6.69539,90,0.452306,16.374246
,5000,1150,116.26472,,16.18804,744,3.820403,136.273163,,8.632239,540,3.930606,128.827565,,435.3444,416,1.888561,553.497681,,823.2941,756,6.739929,946.298749,,59.77029,755,4.289168,180.324178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,keypoints,keypoints of front vehicle,Time(ms),,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,,,,
SIFT,1438,138,186.81,,1.86189,,,188.67189,,0.932044,,,187.742044,,41.5595,,,228.3695,,206.784,,,393.594,,,,,
,1371,131,174.468,,1.59989,63,0.660098,176.727988,,0.890495,86,0.719191,176.077686,,41.4853,64,0.659824,216.613124,,167.524,81,6.42719,348.41919,,,,,
,1380,122,169.767,,1.65095,65,0.579363,171.997313,,0.76545,76,0.478768,171.011218,,41.9807,71,0.535096,212.282796,,172.193,80,1.4502,343.4102,,,,,
,1335,135,182.827,,1.64739,60,0.636423,185.110813,,0.736776,72,0.469118,184.032894,,41.9895,62,0.50291,225.31941,,183.438,83,1.44014,367.70514,,,,,
,1305,136,172.889,,1.70047,65,0.674969,175.264439,,0.877836,82,0.510768,174.277604,,46.0679,65,0.678446,219.635346,,161.779,93,1.78979,336.45779,,,,,
,1370,141,175.171,,1.78224,61,0.579359,177.532599,,0.819502,71,0.521223,176.511725,,44.0928,61,0.682368,219.946168,,159.623,91,2.33909,337.13309,,,,,
,1396,136,186.574,,1.68855,65,0.622931,188.885481,,0.812659,76,0.527727,187.914386,,44.0467,60,0.570041,231.190741,,157.002,83,2.32904,345.90504,,,,,
,1382,149,174.407,,1.89344,65,0.606262,176.906702,,0.924133,77,0.570649,175.901782,,48.341,65,0.618542,223.366542,,154.962,83,3.51264,332.88164,,,,,
,1463,156,175.257,,1.83126,67,0.687079,177.775339,,0.929513,70,0.685529,176.872042,,45.9284,66,0.714777,221.900177,,159.75,101,1.45177,336.45877,,,,,
,1422,136,178.782,,1.67547,79,0.629236,181.086706,,0.764853,87,0.606184,180.153037,,45.9755,80,0.674774,225.432274,,171.062,102,1.89029,351.73429,,,,,
,13862,1380,1776.952,,17.33155,590,5.67572,1799.95927,,8.453261,697,5.089157,1790.494418,,441.4673,594,5.636778,2224.056078,,1694.117,797,22.63015,3493.69915,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AKAZE Descriptor,,,,,,,,,,,,,,,,,,,,,,,
,keypoints,keypoints of front vehicle,Time(ms),,Time(ms),Matches,Matcher Time(ms),Total,,,,,,,,,,,,,,,,,,,,
AKAZE,1351,164,127.095,,101.061,,,228.156,,,,,,,,,,,,,,,,,,,,
,1327,157,116.1,,100.68,136,1.43448,218.21448,,,,,,,,,,,,,,,,,,,,
,1311,159,109.388,,116.526,138,0.856398,226.770398,,,,,,,,,,,,,,,,,,,,
,1351,154,109.66,,106.945,132,0.80258,217.40758,,,,,,,,,,,,,,,,,,,,
,1360,163,108.118,,97.1722,128,0.807098,206.097298,,,,,,,,,,,,,,,,,,,,
,1347,168,110.1171,,96.1171,131,0.883381,207.117581,,,,,,,,,,,,,,,,,,,,
,1363,174,115.678,,97.1825,148,0.935986,213.796486,,,,,,,,,,,,,,,,,,,,
,1331,175,108.582,,110.03,147,0.990581,219.602581,,,,,,,,,,,,,,,,,,,,
,1357,176,107.658,,106.45,150,0.967642,215.075642,,,,,,,,,,,,,,,,,,,,
,1331,176,104.632,,99.3482,149,1.01776,204.99796,,,,,,,,,,,,,,,,,,,,
,13429,1666,1117.0281,,1031.512,1259,8.695906,2157.236006,,,,,,,,,,,,,,,,,,,,
